Complexity,Loss,Equation
1,2.044597,"4.3665304"
3,1.8303533,"x5 + 4.4098754"
5,0.5579692,"(x11 * 0.4790192) + 4.332848"
7,0.3185635,"((x9 + 11.555258) + x11) * 0.37427568"
9,0.25852582,"4.3133316 - ((x7 + (x11 * 1.7850057)) * -0.27621475)"
11,0.25852576,"((x7 * 0.27621025) + (4.502848 - (x11 * -0.493037))) + -0.18950857"
13,0.227077,"((x9 * 0.27744642) + 4.352428) - (x11 * ((x4 * 0.03796699) + -0.46217027))"
15,0.057460252,"(((x9 * -0.44682232) - x11) * (-0.69070274 - (x11 * (x5 * -0.017670453)))) + 4.246257"
17,0.046427116,"(((x9 * -0.43281925) - (x11 + 0.9602806)) * (-0.7100025 - (x5 * (x11 * -0.019671619)))) + 3.6549954"
19,0.04642703,"((((x9 * -0.43266672) - (x11 + 0.95864457)) * (-0.7100913 - (x11 * (x5 * -0.019674214)))) - 0.08107186) + 3.7369797"
21,0.032953754,"((x9 * 0.30173963) + 4.246797) - ((-0.7371184 - (((x9 * x9) * -0.013175666) - ((x11 * x5) * 0.018764002))) * x11)"
23,0.025565678,"((x9 * 0.29715943) + 3.8735962) - (((-0.74511117 - (x9 * (x9 * -0.012818455))) - ((x11 * x5) * -0.019867076)) * (x11 + 0.6253952))"
25,0.021757662,"((-0.6755748 - (((x11 + 1.2256191) * -0.0109749315) * x11)) * ((((x9 * ((x11 + x9) * 0.01427156)) + -0.64129853) * x9) - x11)) + 4.3312106"
27,0.020048115,"(((((((x11 + (x9 + 0.79963833)) * x9) * 0.01418312) + -0.64044946) * x9) - x11) * (-0.67359686 - (x11 * ((x11 + 1.302921) * -0.010972716)))) + 4.3645387"
29,0.0190397,"(((((((x9 + 1.6363119) + x11) * ((x9 + -0.74751097) * 0.014241219)) + -0.6248684) * x9) - x11) * (-0.67474604 - (x11 * ((x11 + 1.3746997) * -0.011066183)))) + 4.369229"
