Complexity,Loss,Equation
1,1.4630185,"x4"
3,1.1870762,"x4 * 0.7158053"
5,0.3675746,"(x4 + x6) * 0.5771265"
7,0.30630594,"((x4 + -7.377409) + x8) * 0.55801356"
9,0.23362365,"(x8 * 0.46601215) + ((x4 * 0.6709321) + -3.469823)"
11,0.23362364,"((x4 * 0.6709127) + ((x8 - 0.59950125) * 0.46600667)) + -3.1904342"
13,0.22405724,"(x4 + ((x8 + -7.515112) * ((x4 * 0.03247078) + 0.67190015))) * 0.69795406"
15,0.122372255,"(((x6 * 0.05487359) + ((x10 * 0.01727136) * x10)) * (12.117776 - x10)) + -2.4205277"
17,0.10591215,"((12.7109995 - x10) * (((x10 * (x10 * 0.020480404)) + (x6 * 0.048641205)) - -0.23995037)) + -5.154052"
19,0.09493133,"((x10 * -0.6072094) + ((13.451911 - x10) * ((x10 * (x10 * 0.025364624)) + (x6 * 0.044370573)))) - 1.7107517"
21,0.09486664,"(x10 * -0.49768373) + ((((x6 * 0.046129387) - (x10 * ((x10 * -0.025539221) + 0.008917971))) * (13.095372 - x10)) - 1.7042152)"
23,0.092148535,"((x10 * -0.70374095) + -1.6050519) + ((13.409029 - (x10 + (x6 * 0.043799285))) * ((x10 * (x10 * 0.027432488)) + (x6 * 0.047091033)))"
25,0.08613283,"(((x10 * (x10 * 0.023546642)) + (x6 * 0.04365375)) * (13.661121 - x10)) + ((x10 * (-0.5366439 - ((x6 * x6) * 0.003671445))) + -1.7501614)"
27,0.06700287,"((x10 * x10) * ((13.661466 - x10) * 0.023912406)) + ((x10 * -0.577404) + (((x6 * 0.5586734) + -1.7139865) - (((x6 * x6) * 0.01657866) * x6)))"
29,0.062262062,"((13.47013 - x10) * ((x10 * (x10 * 0.025271248)) + (x6 * 0.022322943))) + ((-1.6991315 - (x6 * ((x6 * (x6 * 0.014291586)) - 0.33731735))) + (x10 * -0.6085999))"
