Complexity,Loss,Equation
1,1.5502334,"x4"
3,1.281557,"x4 * 0.7195603"
5,0.4060962,"(x4 + x6) * 0.5853952"
7,0.30153072,"((x6 + x10) * 0.56184596) - 7.8574452"
9,0.22833282,"((x8 * 0.46949404) - (x4 * -0.6751297)) + -5.695311"
11,0.21728429,"((-10.808902 - x8) * ((x4 * -0.030818045) - 0.45851177)) + -10.536664"
13,0.21727203,"(((x4 * 0.029823715) - -0.45889884) * x8) + ((x4 * 0.34428003) + -5.5847363)"
15,0.20664224,"((((x6 * -0.030436544) * x6) - (x8 * -0.47037125)) + -5.596243) + (x4 * 0.6869832)"
17,0.19246052,"((((x6 * (x6 - x7)) * 0.08054943) - x8) * -0.4625344) + ((x4 * 0.6853867) + -5.4935846)"
19,0.1915284,"((((((x6 - x7) * 0.13685614) + -2.7424314) * x6) + (x8 + 23.362286)) + (x10 * -2.5398426)) * -0.26958078"
21,0.17259897,"((x10 * -4.5452437) + ((((((x6 + x4) * (x6 * 0.115531705)) + -5.0880156) * x6) + x8) + 51.44198)) * -0.15809995"
23,0.16989319,"((((((x4 + (x6 + 0.74123454)) * 0.10438516) * x6) + -4.984417) * x6) + ((x10 * -4.5633893) + (x8 + 51.447857))) * -0.15742876"
25,0.16775675,"((((x6 * (((x6 * 0.106379226) * (x4 + (x6 * 0.658956))) + -3.7658114)) + (x8 + (x10 * -3.3687139))) + 27.156544) * -0.2216788) + -1.7546"
27,0.16452616,"(x8 + ((((((x6 * 0.09641383) * ((x4 + x6) + ((x4 * x4) * 0.1189163))) + -4.780285) * x6) + (x10 * -4.5609055)) + 51.53246)) * -0.1603242"
29,0.16452608,"(((((x6 * ((((x4 * x4) * 0.11889676) + (x4 + x6)) * 0.09642286)) + -4.7804017) * x6) + (x8 + ((x10 * -4.560898) + 0.07229146))) + 51.46042) * -0.16032465"
