Complexity,Loss,Equation
1,2.0484922,"10.93651"
3,1.4530967,"x5 + 10.979852"
5,0.5250153,"10.960851 - (x5 * -0.5616391)"
7,0.32437184,"((x5 + x9) * 0.42024112) + 4.7867913"
9,0.2073345,"((x9 * 0.28573668) + 6.765788) + (x5 * 0.53231657)"
11,0.20688233,"(x11 * 0.28871456) + (((x7 + x5) * 0.25468278) + 8.285329)"
13,0.19801208,"((x11 * 0.50349975) - -6.305216) + ((0.49680287 - (x0 * 0.055811726)) * x7)"
15,0.14206202,"((x11 * 0.56309414) + 5.739811) - ((((x5 * 0.015939612) * x7) - 0.34001613) * x7)"
17,0.063429646,"((x11 * 0.33282286) + 7.8520617) + ((0.41095278 - (x5 * (x5 * 0.0198832))) * (x5 + x7))"
19,0.055499453,"((x5 + x7) * (0.41651407 - (x5 * ((x5 * 0.020886365) - -0.012111582)))) + ((x11 * 0.33384067) + 7.901318)"
21,0.045878723,"((0.38165706 - ((x5 * (x5 - -0.6514786)) * 0.018289892)) * ((x5 * 1.4305485) + x7)) + ((x11 * 0.272457) + 8.487484)"
23,0.04456236,"((x11 * 0.27451816) + (((x5 * 1.4230778) + x7) * (0.38331836 - (((x10 * 0.072299995) + x5) * (x5 * 0.01816239))))) + 8.469877"
25,0.041873623,"((x7 + (x5 * 1.3790896)) * (0.38852397 - ((x5 + ((x9 + x7) * 0.04896351)) * (0.018319415 * x5)))) + (8.438593 + (x11 * 0.27833143))"
27,0.03797352,"((x7 + (x5 * 1.3259261)) * (0.40578577 - (((x5 + ((x11 * (x7 * 0.024572827)) - -0.45857272)) * x5) * 0.016731266))) + ((x11 * 0.26341754) + 8.54686)"
29,0.032033198,"((x11 * (x9 * 0.0121652465)) + 9.373348) + (((x5 * 2.1468627) + x7) * (((((x5 + ((x7 + x5) * 0.54747343)) - -1.5073059) * x5) * -0.0069771777) + 0.2913419))"
