Complexity,Loss,Equation
1,1.4086983,"x4"
3,0.6305907,"x10 * 0.5799557"
5,0.42838925,"(x10 - -0.8017361) * 0.5630689"
7,0.37227437,"(-1.6438972 - (x10 + x4)) * -0.30955103"
9,0.21910702,"x10 * (((x10 * -0.022739917) * x10) + 0.9423354)"
11,0.031490196,"(x10 + 0.54655457) * (((x10 * -0.021084748) * x10) + 0.90121114)"
13,0.028366132,"((((x10 + x4) * -0.013951665) * x10) + 0.9428928) * (x10 + 0.51046884)"
15,0.021607377,"(((((x4 + x10) * -0.01342565) * x10) + 0.92992693) * (x10 + 1.0033454)) - 0.40294307"
17,0.01009701,"((x10 * (((x10 * (x10 * 0.00047329516)) + -0.04075636) * x10)) + 1.0244464) * (x10 - -0.4909657)"
19,0.0015153927,"((((x10 * (((x10 * 0.00056130125) * x10) + -0.043522026)) * x10) + 1.035428) * (x10 - -0.9480954)) + -0.41223958"
21,0.0011325773,"(x10 * (((x10 * (x10 + 1.1214756)) * ((((x10 * 0.0005041485) + 0.00024338641) * x10) + -0.04212478)) + 1.0283889)) - -0.58185834"
23,0.00067413726,"(x10 - ((x10 * (x10 * 0.030689064)) + -0.5759428)) * (((x10 * x10) * (((x10 * 0.0005262934) * x10) + -0.042465307)) + 1.0323032)"
25,0.00064841635,"(x10 * (((x10 * ((x10 * ((((x10 * -8.352852e-6) * x10) + 0.0010744793) * x10)) + -0.05173604)) * (x10 + 0.88748133)) + 1.0647645)) + 0.575429"
27,1.8958759e-5,"((x10 * ((((x10 * ((x10 * (x10 * -8.866374e-6)) + 0.0010482334)) * (x10 + 0.41464546)) + -0.051140063) * (x10 - -0.54985726))) + 1.0746568) * (x10 - -0.55284566)"
29,1.7655682e-5,"((x10 * ((-0.05133429 + ((x10 + 0.42009547) * ((0.0010587993 + ((x10 * -8.992589e-6) * x10)) * (-0.023556488 + x10)))) * (x10 - -0.5413359))) + 1.0754342) * (x10 - -0.5518487)"
