Complexity,Loss,Equation
1,2.7887766,"3.0598698"
3,0.8184341,"x8 * 0.6354121"
5,0.41238406,"(x6 + x10) * 0.63493866"
7,0.25747785,"(x8 * 0.6513339) + (x4 * 0.42425925)"
9,0.25421438,"(1.0794058 - (x6 * -0.653681)) + (x10 * 0.4364729)"
11,0.24668637,"(x4 * 0.42352292) + (x8 * ((x5 * 0.010411716) + 0.6518516))"
13,0.2261355,"((0.54870296 - (x11 * -0.02240849)) * ((x10 * 0.6604282) + x6)) + 1.076484"
15,0.13010211,"((-0.90127814 - ((x6 * -0.026663426) * x6)) * ((x10 * -0.5320039) - x6)) + 1.090874"
17,0.1205802,"(((x10 * -0.595174) - x6) * (-0.8427027 - ((x6 * (0.8979048 - x6)) * 0.02890142))) + 0.935508"
19,0.11132078,"(((x10 * 0.5984939) + x6) * (((((x11 * -0.19777283) + x6) * x6) * -0.027500993) - -0.8343695)) + 0.93670595"
21,0.07796447,"(((x10 * 0.3800096) + (x6 * 0.57526654)) * (((x6 * (x2 * (x6 - 1.5321991))) * -0.016961101) - -1.3886293)) + 0.77024555"
