Complexity,Loss,Equation
1,1470.3973,"59.54919"
3,25.000002,"x0 * x1"
5,9.8953025e-12,"(x0 * x1) + 5.0"
7,9.88166e-12,"((x1 * x0) - -1.309715) + 3.690285"
9,9.699761e-12,"((x1 + 1.0) * x0) - (x0 - 5.0)"
11,8.817551e-12,"((x1 + 1.0) * x0) - ((x0 - 5.328084) + 0.3280837)"
13,7.421477e-12,"(((x0 * -1.0) + ((x0 * x1) + 4.658341)) + x0) + 0.34165898"
17,7.403287e-12,"(x0 + (((x1 * x0) + 4.658341) + (x0 * -1.0))) + ((x1 * -5.1264585e-8) - -0.34165943)"
19,7.264589e-12,"(x0 + ((((x1 + (5.8284922e-8 * (0.2984705 - -1.769482))) * x0) + 4.658341) + (x0 * -1.0))) - -0.34165943"
21,6.866685e-12,"(((-1.6562662 / (x0 + -4.227807)) * -4.7309914e-8) - -0.34165943) + (((x0 * -1.0) + ((x0 * x1) + 4.658341)) + x0)"
23,6.8212103e-12,"(((-1.0 * x0) + ((x0 * x1) + 4.658341)) + x0) + ((((-1.6562662 / (x0 + -4.227807)) + x1) * -4.7309914e-8) - -0.34165943)"
25,6.7666406e-12,"(((x0 * -1.0) + ((x0 * x1) + 4.658341)) + x0) + ((((-1.6562662 / (x0 + -4.227807)) + (x1 + x0)) * -4.7309914e-8) - -0.34165943)"
