Complexity,Loss,Equation
1,5.983806e10,"32136.385"
3,5.9837977e10,"32108.559 - x0"
5,5.697121e10,"(x0 * -64553.04) + 358542.1"
6,3.3514246e10,"0.44268164 ^ (cos(x0) / 0.050610926)"
8,1.056664e8,"x0 ^ (0.0041366722 ^ cos(0.5933272 + x0))"
10,7.4686184e7,"x0 ^ ((0.0041366722 ^ cos(x0 + 0.5940028)) + 0.053411458)"
12,7.467117e7,"(x0 ^ ((0.0041366722 ^ cos(x0 + 0.5940028)) + 0.053411458)) + x0"
13,2.5170066e7,"(0.13444982 ^ (0.09502773 ^ cos(x0))) ^ cos((x0 * x0) - x0)"
15,2.4139334e7,"((0.28920805 ^ (0.058101587 ^ cos(x0))) ^ cos(x0 - (x0 * x0))) * 2.1585338"
17,2.4124806e7,"(((0.28920808 ^ (0.058101587 ^ cos(x0))) ^ cos((x0 * x0) - x0)) + x0) * 2.1585338"
19,2.4087056e7,"(((0.28920808 ^ (0.05810158 ^ cos(x0))) ^ cos((x0 * x0) - x0)) + (x0 * x0)) * 2.1585338"
20,1.2200891e7,"(0.04367132 ^ (x0 * cos(x0))) + ((0.23852083 ^ (0.06451031 ^ cos(x0))) ^ cos(x0 - (x0 * x0)))"
22,1.220053e7,"((0.04367132 ^ (cos(x0) * x0)) + ((0.23852083 ^ (0.06451031 ^ cos(x0))) ^ cos(x0 - (x0 * x0)))) - x0"
24,9.113104e6,"(0.8171086 * ((0.18743846 ^ (0.076001465 ^ cos(x0))) ^ cos((x0 * x0) - x0))) + (0.046647515 ^ ((0.14915983 + x0) * cos(x0)))"
26,9.072082e6,"(0.046647515 ^ (cos(x0) * (0.1531784 + x0))) + ((((0.18743846 ^ (0.076001465 ^ cos(x0))) ^ cos((x0 * x0) - x0)) * 0.8171086) - x0)"
29,9.071754e6,"sin(x0) + (((0.046647515 ^ ((x0 + 0.1531784) * cos(x0))) + (((0.18743846 ^ (0.076001465 ^ cos(x0))) ^ cos((x0 * x0) - x0)) * 0.8171086)) - x0)"
