Complexity,Loss,Equation
1,1.3544226,"5.375878"
5,0.5886841,"(x9 * 0.34404597) - -3.601533"
7,0.18108158,"((x5 + x9) * 0.3649528) + 3.4568357"
9,0.16374119,"(((x11 * 0.7814238) + x7) * 0.40749523) + 3.6923857"
11,0.12386003,"((x5 + x9) * ((x9 * 0.016866168) + 0.23741719)) + 3.571741"
13,0.11437672,"((x9 * ((x9 * 0.018056346) + 0.22206798)) + 3.5991683) + (x5 * 0.3402275)"
15,0.10351716,"(x5 * 0.3329007) + ((x9 * (((x7 * 0.005044808) * x10) + 0.30297247)) + 3.6487007)"
17,0.0859222,"((x7 * (x7 * x7)) * -0.013567417) + ((x5 * 0.35151106) + ((x9 * 0.54016227) + 2.5604944))"
19,0.04711378,"((x9 * 0.36116856) + ((x5 * 0.34938523) + 3.458915)) + (x7 * ((x7 * (x7 * -0.014916024)) + 0.24934916))"
21,0.044058286,"(((x9 * 0.37378427) + 3.3532045) + (((x7 + 3.6683438) * (x7 * (x7 + -4.3284545))) * -0.014192494)) + (x5 * 0.34635141)"
23,0.04405827,"((x9 * 0.37380916) + 3.355095) + (((((x7 + 3.6678886) * (x7 + -4.32831)) * -0.014192256) * x7) + ((x5 - 0.005832819) * 0.34635112))"
25,0.042692572,"((x5 * 0.35730723) + (x9 * 0.37896222)) + (3.325447 + (x7 * ((x7 + -4.29057) * ((((x5 * 0.15289731) + x7) + 3.5158367) * -0.014546661))))"
27,0.04008206,"(((((x7 + (x7 * (x7 * 0.042166647))) + 3.049071) * x7) * (x7 + -4.5110645)) * -0.01936564) + ((x9 * 0.34740397) + ((x5 * 0.3467418) + 3.4490736))"
29,0.04004539,"((((x7 + -4.5181937) * -0.019545587) * (((x7 * (x7 * 0.043958068)) + (x7 + 2.9656973)) * x7)) + (x9 * 0.35107172)) + (((x5 * 0.3465234) + 3.3870525) - -0.03632992)"
