Complexity,Loss,Equation
1,2.0736334,"x8"
3,1.0378402,"x6 - -5.757325"
5,0.60345364,"(x8 * 0.60716164) + 2.8918843"
7,0.55853796,"((x8 + x6) * 0.33408687) + 4.2173376"
9,0.5574676,"(x8 * 0.37200272) + ((x6 * 0.2904798) - -4.0324326)"
11,0.25997257,"(-12.328005 - (x8 * x8)) * ((x8 * 0.017115453) + -0.24160835)"
13,0.055967484,"4.884328 - (x8 * ((((x8 * 0.031170432) + -0.49414966) * x8) + 1.5272714))"
15,0.055967454,"5.4919567 - ((x8 * ((x8 * ((x8 * 0.031170432) + -0.49414966)) + 1.5272912)) + 0.6075928)"
17,0.05224693,"4.8839984 - (x8 * (((x8 * ((x8 * 0.031045984) + -0.4793238)) + 1.4574845) + (x6 * -0.015508261)))"
19,0.02177546,"((0.0007824564 * (x8 + -12.365874)) * ((x8 - 4.021534) * ((-12.367828 + x8) * (x8 * x8)))) - -4.5720983"
21,0.0027011232,"4.6606817 - ((x8 + -4.160131) * (x8 * ((-0.10850121 - ((x8 + -1.6352313) * ((x8 + -20.993528) * 0.001135497))) * x8)))"
23,0.002693799,"(((-0.0041365414 - (x8 * (-0.10999168 - (((x8 + -1.6362722) * (x8 + -20.99521)) * 0.0011472766)))) * x8) * (x8 + -4.1595225)) + 4.658436"
25,0.002557595,"((((x8 + -4.1775336) * (-0.10641406 - (((x8 + -1.651714) * 0.0011134304) * (x8 + -21.010738)))) * ((x0 * -0.02643002) - x8)) * x8) + 4.6775775"
27,0.0023991514,"((x8 + -4.1641765) * (((-0.10544498 - (((x8 + -21.010784) * (x8 + -1.6517587)) * 0.001103147)) * x8) * (((x0 * x8) * -0.0068936343) - x8))) + 4.661079"
29,0.002378306,"((((x0 * -0.00905739) * (x8 + -1.6569066)) - x8) * ((-0.1060589 - (((x8 + -20.998564) * (x8 + -1.6394175)) * 0.0011095398)) * (x8 * (x8 + -4.1568284)))) + 4.652266"
