Complexity,Loss,Equation
1,531.0368,"33.563984"
3,31.056398,"x0 * x1"
5,7.8575964,"(x0 * x1) + 4.816617"
7,5.103164e-12,"(x2 + 5.0) + (x1 * x0)"
9,4.9858394e-12,"((x2 + 4.8802876) + (x0 * x1)) + 0.11971229"
11,4.913091e-12,"((x1 * x0) + 5.0) + (x2 - (x1 * -7.618449e-8))"
13,4.8745114e-12,"(x1 * x0) + ((x2 + 5.0) + ((x0 * x2) * 1.5975989e-8))"
15,4.6863277e-12,"(x0 * x1) + (((x1 * (x0 * x2)) * 1.8898563e-9) + (x2 + 5.0))"
17,4.6460826e-12,"((x0 * (((x0 * x1) * x2) * 2.323638e-10)) + (x2 + 5.0)) + (x1 * x0)"
19,4.645173e-12,"(x1 * x0) + ((x0 * ((((x1 * x0) + 0.70309275) * x2) * 2.323638e-10)) + (x2 + 5.0))"
23,4.644286e-12,"(((((x0 * x2) * (x1 - 0.129413)) + (x2 * x2)) * (x0 * 2.3104203e-10)) + (x2 + 5.0)) + (x1 * x0)"
25,4.6017448e-12,"(x0 * x1) + ((x2 * (1.8898563e-9 * (x0 * x1))) + ((5.0 + x2) + ((1.8898563e-9 * (-0.2870431 + x0)) * (x1 * x2))))"
